epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.869,1.71913,3.50039,1.31646,0,0,0,0,0,138.171,0,0.0002875,0.0002875,0.0002875
2,224.65,1.48715,2.32604,1.203,0,0,0,0,0,124.502,0,0.000575868,0.000575868,0.000575868
3,330.775,1.46397,2.09206,1.20118,0,0,0,0,0,138.673,0,0.000852355,0.000852355,0.000852355
4,839.215,1.44587,1.95941,1.20996,0,0,0,0,0,165.436,0,0.00111696,0.00111696,0.00111696
5,943.781,1.40523,1.87703,1.19414,0,0,0,0,0,180.243,0,0.001151,0.001151,0.001151
6,1049.23,1.3956,1.73305,1.20015,0,0,0,0,0,182.576,0,0.00112625,0.00112625,0.00112625
